,window_size,lstm_units,dropout,learning_rate,batch_size,val_loss,rmse,epochs
0,15,"[64, 32]",0.2,0.001,16,0.004017754457890987,0.06338575799567281,30
1,15,"[64, 32]",0.2,0.001,32,0.004582818131893873,0.06769651591158214,50
2,15,"[64, 32]",0.2,0.001,64,0.004781005438417196,0.0691448140512998,50
3,15,"[64, 32]",0.2,0.0005,16,0.004332639276981354,0.06582278591878549,48
4,15,"[64, 32]",0.2,0.0005,32,0.005220619961619377,0.07225385426114163,39
5,15,"[64, 32]",0.2,0.0005,64,0.005396679043769836,0.07346209282500385,50
6,15,"[64, 32]",0.2,0.0001,16,0.005872412584722042,0.07663166527266214,50
7,15,"[64, 32]",0.2,0.0001,32,0.007463986054062843,0.0863943611605102,50
8,15,"[64, 32]",0.2,0.0001,64,0.007539239712059498,0.0868287945172734,50
9,15,"[64, 32]",0.3,0.001,16,0.00529633741825819,0.07277594093216144,19
10,15,"[64, 32]",0.3,0.001,32,0.004991169553250074,0.07064821073978439,46
11,15,"[64, 32]",0.3,0.001,64,0.005423625465482473,0.07364526440950797,50
12,15,"[64, 32]",0.3,0.0005,16,0.004658948630094528,0.06825649008692788,44
13,15,"[64, 32]",0.3,0.0005,32,0.005662055220454931,0.07524662625456023,39
14,15,"[64, 32]",0.3,0.0005,64,0.005352464038878679,0.07316053368600069,50
15,15,"[64, 32]",0.3,0.0001,16,0.00548950769007206,0.07409121021535865,49
16,15,"[64, 32]",0.3,0.0001,32,0.0069720083847641945,0.08349854935851003,50
17,15,"[64, 32]",0.3,0.0001,64,0.008568226359784603,0.09256471084181905,50
18,15,"[64, 32]",0.4,0.001,16,0.005959833040833473,0.0771999527606724,15
19,15,"[64, 32]",0.4,0.001,32,0.006779542658478022,0.08233797713557156,16
20,15,"[64, 32]",0.4,0.001,64,0.005318155977874994,0.07292568530042087,50
21,15,"[64, 32]",0.4,0.0005,16,0.004889484960585833,0.0699248519943308,50
22,15,"[64, 32]",0.4,0.0005,32,0.005106900352984667,0.07146257571377516,50
23,15,"[64, 32]",0.4,0.0005,64,0.006787505000829697,0.08238631684043314,37
24,15,"[64, 32]",0.4,0.0001,16,0.008662399835884571,0.09307200652080456,25
25,15,"[64, 32]",0.4,0.0001,32,0.008135482668876648,0.09019690365255294,31
26,15,"[64, 32]",0.4,0.0001,64,0.008833685889840126,0.09398768926853006,50
27,15,"[128, 64]",0.2,0.001,16,0.005036210175603628,0.07096626053739041,17
28,15,"[128, 64]",0.2,0.001,32,0.004335186444222927,0.06584212985671983,31
29,15,"[128, 64]",0.2,0.001,64,0.004061632324010134,0.06373093444598682,43
30,15,"[128, 64]",0.2,0.0005,16,0.004013251047581434,0.06335022530697272,34
31,15,"[128, 64]",0.2,0.0005,32,0.0041268086060881615,0.06424023858722211,50
32,15,"[128, 64]",0.2,0.0005,64,0.005397876724600792,0.07347024226519867,50
33,15,"[128, 64]",0.2,0.0001,16,0.005031795706599951,0.07093515156854613,50
34,15,"[128, 64]",0.2,0.0001,32,0.005843277554959059,0.07644133346501623,50
35,15,"[128, 64]",0.2,0.0001,64,0.006909352261573076,0.08312251396914583,50
36,15,"[128, 64]",0.3,0.001,16,0.004201745614409447,0.06482087204851797,25
37,15,"[128, 64]",0.3,0.001,32,0.0041694664396345615,0.0645714072460634,33
38,15,"[128, 64]",0.3,0.001,64,0.00457086181268096,0.06760814857920049,41
39,15,"[128, 64]",0.3,0.0005,16,0.004259864334017038,0.06526763647595296,31
40,15,"[128, 64]",0.3,0.0005,32,0.004541683476418257,0.06739201473670409,48
41,15,"[128, 64]",0.3,0.0005,64,0.005434817634522915,0.0737212165037071,50
42,15,"[128, 64]",0.3,0.0001,16,0.005026280879974365,0.07089627080206773,50
43,15,"[128, 64]",0.3,0.0001,32,0.006176338996738195,0.07858968724998783,50
44,15,"[128, 64]",0.3,0.0001,64,0.007384182419627905,0.08593126542463747,50
45,15,"[128, 64]",0.4,0.001,16,0.004646869841963053,0.06816795330086152,23
46,15,"[128, 64]",0.4,0.001,32,0.004857644438743591,0.06969680214378499,26
47,15,"[128, 64]",0.4,0.001,64,0.004417663440108299,0.06646550030960002,49
48,15,"[128, 64]",0.4,0.0005,16,0.0045146699994802475,0.06719129387200758,32
49,15,"[128, 64]",0.4,0.0005,32,0.004423129837960005,0.06650661492519576,50
50,15,"[128, 64]",0.4,0.0005,64,0.005824140273034573,0.07631605402365058,34
51,15,"[128, 64]",0.4,0.0001,16,0.005654315929859877,0.07519518245897952,50
52,15,"[128, 64]",0.4,0.0001,32,0.006962634157389402,0.08344239709309297,24
53,15,"[128, 64]",0.4,0.0001,64,0.007648557890206575,0.08745603594112444,50
54,15,"[64, 32, 16]",0.2,0.001,16,0.006903302855789661,0.08308611163886064,14
55,15,"[64, 32, 16]",0.2,0.001,32,0.005143679212778807,0.07171944558854583,35
56,15,"[64, 32, 16]",0.2,0.001,64,0.006849203258752823,0.0827599125833376,31
57,15,"[64, 32, 16]",0.2,0.0005,16,0.005294530652463436,0.07276352326995135,41
58,15,"[64, 32, 16]",0.2,0.0005,32,0.006565621588379145,0.08102852114332434,18
59,15,"[64, 32, 16]",0.2,0.0005,64,0.008016875013709068,0.08953700141425906,23
60,15,"[64, 32, 16]",0.2,0.0001,16,0.007828975096344948,0.08848149861376634,23
61,15,"[64, 32, 16]",0.2,0.0001,32,0.007575064431875944,0.08703484600321217,50
62,15,"[64, 32, 16]",0.2,0.0001,64,0.008107034489512444,0.09003906846316619,50
63,15,"[64, 32, 16]",0.3,0.001,16,0.006197343580424786,0.07872320558614118,24
64,15,"[64, 32, 16]",0.3,0.001,32,0.00687148654833436,0.08289442915027324,31
65,15,"[64, 32, 16]",0.3,0.001,64,0.0067540970630943775,0.08218331326248765,34
66,15,"[64, 32, 16]",0.3,0.0005,16,0.005568642634898424,0.07462333533299473,45
67,15,"[64, 32, 16]",0.3,0.0005,32,0.007153094746172428,0.08457596847872055,17
68,15,"[64, 32, 16]",0.3,0.0005,64,0.00777062913402915,0.08815117202897346,23
69,15,"[64, 32, 16]",0.3,0.0001,16,0.007903791964054108,0.08890327006669389,30
70,15,"[64, 32, 16]",0.3,0.0001,32,0.007598754484206438,0.08717083518092864,50
71,15,"[64, 32, 16]",0.3,0.0001,64,0.008393586613237858,0.09161651951519578,46
72,15,"[64, 32, 16]",0.4,0.001,16,0.007805244997143745,0.08834729843186774,10
73,15,"[64, 32, 16]",0.4,0.001,32,0.007046403829008341,0.08394286193011541,19
74,15,"[64, 32, 16]",0.4,0.001,64,0.007323763333261013,0.08557898534643908,30
75,15,"[64, 32, 16]",0.4,0.0005,16,0.008024855516850948,0.08958155279772038,11
76,15,"[64, 32, 16]",0.4,0.0005,32,0.008387758396565914,0.09158469727263518,15
77,15,"[64, 32, 16]",0.4,0.0005,64,0.008000106550753117,0.08944331886637534,25
78,15,"[64, 32, 16]",0.4,0.0001,16,0.007590498775243759,0.08712346876356204,48
79,15,"[64, 32, 16]",0.4,0.0001,32,0.007755077909678221,0.08806291568133065,50
80,15,"[64, 32, 16]",0.4,0.0001,64,0.009183711372315884,0.09583168272319409,48
81,30,"[64, 32]",0.2,0.001,16,0.00396433612331748,0.06296297359775936,36
82,30,"[64, 32]",0.2,0.001,32,0.00533896591514349,0.07306822865364733,20
83,30,"[64, 32]",0.2,0.001,64,0.0053412215784192085,0.0730836591261348,50
84,30,"[64, 32]",0.2,0.0005,16,0.0041418615728616714,0.06435729490128068,44
85,30,"[64, 32]",0.2,0.0005,32,0.00423535518348217,0.06507960358174376,50
86,30,"[64, 32]",0.2,0.0005,64,0.00550713948905468,0.07421010327657979,50
87,30,"[64, 32]",0.2,0.0001,16,0.0056171840988099575,0.07494787688905626,50
88,30,"[64, 32]",0.2,0.0001,32,0.0067848507314920425,0.0823702035200595,38
89,30,"[64, 32]",0.2,0.0001,64,0.008866305463016033,0.09416106263323128,50
90,30,"[64, 32]",0.3,0.001,16,0.006162624340504408,0.07850238370642505,14
91,30,"[64, 32]",0.3,0.001,32,0.004656179342418909,0.06823620333509048,50
92,30,"[64, 32]",0.3,0.001,64,0.00466262549161911,0.06828341921352628,50
93,30,"[64, 32]",0.3,0.0005,16,0.004622709471732378,0.06799050932019826,41
94,30,"[64, 32]",0.3,0.0005,32,0.0054782843217253685,0.07401543005583355,39
95,30,"[64, 32]",0.3,0.0005,64,0.0057631125673651695,0.07591516594176127,50
96,30,"[64, 32]",0.3,0.0001,16,0.006236392073333263,0.07897083243810735,29
97,30,"[64, 32]",0.3,0.0001,32,0.006873542442917824,0.08290682595360535,50
98,30,"[64, 32]",0.3,0.0001,64,0.007749093230813742,0.08802893326786984,15
99,30,"[64, 32]",0.4,0.001,16,0.004672038368880749,0.06835230620548874,33
100,30,"[64, 32]",0.4,0.001,32,0.0046622250229120255,0.06828048491849435,50
101,30,"[64, 32]",0.4,0.001,64,0.006137915421277285,0.07834485064478171,20
102,30,"[64, 32]",0.4,0.0005,16,0.00534837506711483,0.07313258680630905,34
103,30,"[64, 32]",0.4,0.0005,32,0.005516511853784323,0.07427322446405334,47
104,30,"[64, 32]",0.4,0.0005,64,0.005927955266088247,0.07699321355139535,50
105,30,"[64, 32]",0.4,0.0001,16,0.006795859429985285,0.08243700052334738,39
106,30,"[64, 32]",0.4,0.0001,32,0.007525049149990082,0.08674703941863529,47
107,30,"[64, 32]",0.4,0.0001,64,0.008213132619857788,0.0906263346146295,50
108,30,"[128, 64]",0.2,0.001,16,0.0040624444372951984,0.06373730917468867,26
109,30,"[128, 64]",0.2,0.001,32,0.004247694276273251,0.06517433749162611,28
110,30,"[128, 64]",0.2,0.001,64,0.0041580102406442165,0.06448262951679155,46
111,30,"[128, 64]",0.2,0.0005,16,0.004163310397416353,0.06452372021831897,38
112,30,"[128, 64]",0.2,0.0005,32,0.004114089999347925,0.06414116929252525,50
113,30,"[128, 64]",0.2,0.0005,64,0.004737917333841324,0.06883253078101596,50
114,30,"[128, 64]",0.2,0.0001,16,0.00466299569234252,0.06828613251001844,50
115,30,"[128, 64]",0.2,0.0001,32,0.0062771146185696125,0.07922824245244876,50
116,30,"[128, 64]",0.2,0.0001,64,0.008332674391567707,0.09128348169184747,37
117,30,"[128, 64]",0.3,0.001,16,0.00418461300432682,0.0646885819456634,28
118,30,"[128, 64]",0.3,0.001,32,0.0043860990554094315,0.06622763257289607,32
119,30,"[128, 64]",0.3,0.001,64,0.004605631809681654,0.06786480677812162,50
120,30,"[128, 64]",0.3,0.0005,16,0.005047976970672607,0.07104911569063893,18
121,30,"[128, 64]",0.3,0.0005,32,0.005620353855192661,0.07496902186285852,26
122,30,"[128, 64]",0.3,0.0005,64,0.0044577233493328094,0.06676618471101263,50
123,30,"[128, 64]",0.3,0.0001,16,0.005306728649884462,0.07284729584246703,50
124,30,"[128, 64]",0.3,0.0001,32,0.0068129668943583965,0.08254069586161296,50
125,30,"[128, 64]",0.3,0.0001,64,0.0069595021195709705,0.08342362404234602,50
126,30,"[128, 64]",0.4,0.001,16,0.005295915063470602,0.072773037060022,15
127,30,"[128, 64]",0.4,0.001,32,0.005377727560698986,0.07333299038424462,23
128,30,"[128, 64]",0.4,0.001,64,0.004796122666448355,0.0692540448792475,35
129,30,"[128, 64]",0.4,0.0005,16,0.00424870103597641,0.0651820595518708,45
130,30,"[128, 64]",0.4,0.0005,32,0.004428359679877758,0.06654592242071296,46
131,30,"[128, 64]",0.4,0.0005,64,0.0055993348360061646,0.0748287051855316,50
132,30,"[128, 64]",0.4,0.0001,16,0.005717845633625984,0.07561643739452116,50
133,30,"[128, 64]",0.4,0.0001,32,0.006648347247391939,0.08153739800468991,48
134,30,"[128, 64]",0.4,0.0001,64,0.007432334590703249,0.08621098596081937,50
135,30,"[64, 32, 16]",0.2,0.001,16,0.006226903758943081,0.07891072913664542,20
136,30,"[64, 32, 16]",0.2,0.001,32,0.007886924780905247,0.08880836166054566,11
137,30,"[64, 32, 16]",0.2,0.001,64,0.006196188740432262,0.07871587336265992,36
138,30,"[64, 32, 16]",0.2,0.0005,16,0.005043803248554468,0.07101973912634223,46
139,30,"[64, 32, 16]",0.2,0.0005,32,0.007448937278240919,0.08630722520076506,16
140,30,"[64, 32, 16]",0.2,0.0005,64,0.008541294373571873,0.09241911869795494,22
141,30,"[64, 32, 16]",0.2,0.0001,16,0.006952889729291201,0.08338398498177378,50
142,30,"[64, 32, 16]",0.2,0.0001,32,0.007905373349785805,0.0889121695320038,34
143,30,"[64, 32, 16]",0.2,0.0001,64,0.008804121054708958,0.09383027981590465,50
144,30,"[64, 32, 16]",0.3,0.001,16,0.007069634739309549,0.08408111747252313,11
145,30,"[64, 32, 16]",0.3,0.001,32,0.006841543596237898,0.08271362165131256,22
146,30,"[64, 32, 16]",0.3,0.001,64,0.007957368157804012,0.08920407990150923,16
147,30,"[64, 32, 16]",0.3,0.0005,16,0.006909282878041267,0.08312209441038854,18
148,30,"[64, 32, 16]",0.3,0.0005,32,0.007115324959158897,0.0843523857750197,20
149,30,"[64, 32, 16]",0.3,0.0005,64,0.007314917165786028,0.08552728654725222,28
150,30,"[64, 32, 16]",0.3,0.0001,16,0.00729875173419714,0.0854327316604016,50
151,30,"[64, 32, 16]",0.3,0.0001,32,0.007903827354311943,0.08890347187822956,36
152,30,"[64, 32, 16]",0.3,0.0001,64,0.008712043054401875,0.0933383242682194,50
153,30,"[64, 32, 16]",0.4,0.001,16,0.00712430477142334,0.08440559713893063,12
154,30,"[64, 32, 16]",0.4,0.001,32,0.007551159244030714,0.0868974050135932,10
155,30,"[64, 32, 16]",0.4,0.001,64,0.007946967147290707,0.08914576189232953,19
156,30,"[64, 32, 16]",0.4,0.0005,16,0.006423271726816893,0.08014531411665811,26
157,30,"[64, 32, 16]",0.4,0.0005,32,0.007776769809424877,0.08818599485282747,19
158,30,"[64, 32, 16]",0.4,0.0005,64,0.007607507519423962,0.08722102716774846,28
159,30,"[64, 32, 16]",0.4,0.0001,16,0.007871911861002445,0.08872379969328813,32
160,30,"[64, 32, 16]",0.4,0.0001,32,0.008458488620817661,0.09197004279519357,48
161,30,"[64, 32, 16]",0.4,0.0001,64,0.008145298808813095,0.09025130760154197,50
162,45,"[64, 32]",0.2,0.001,16,0.004041138105094433,0.06356994684160566,32
163,45,"[64, 32]",0.2,0.001,32,0.004322747699916363,0.0657476052096785,34
164,45,"[64, 32]",0.2,0.001,64,0.005351114086806774,0.07315130988097149,39
165,45,"[64, 32]",0.2,0.0005,16,0.004055834840983152,0.06368543709379441,44
166,45,"[64, 32]",0.2,0.0005,32,0.004848028067499399,0.06962778211809854,50
167,45,"[64, 32]",0.2,0.0005,64,0.005414143204689026,0.07358086119916106,50
168,45,"[64, 32]",0.2,0.0001,16,0.006150903645902872,0.07842769323744286,50
169,45,"[64, 32]",0.2,0.0001,32,0.007039621472358704,0.08390245680235621,50
170,45,"[64, 32]",0.2,0.0001,64,0.008587921038269997,0.09267103548640684,50
171,45,"[64, 32]",0.3,0.001,16,0.004609374795109034,0.06789237152008924,38
172,45,"[64, 32]",0.3,0.001,32,0.003994193393737078,0.06319963213221366,50
173,45,"[64, 32]",0.3,0.001,64,0.005324463360011578,0.07296891750949414,50
174,45,"[64, 32]",0.3,0.0005,16,0.004650830291211605,0.06819699446073804,49
175,45,"[64, 32]",0.3,0.0005,32,0.005075626075267792,0.07124342596120699,49
176,45,"[64, 32]",0.3,0.0005,64,0.0072126430459320545,0.08492728042091174,28
177,45,"[64, 32]",0.3,0.0001,16,0.006051425822079182,0.07779091167997933,50
178,45,"[64, 32]",0.3,0.0001,32,0.006659352220594883,0.08160485432829936,50
179,45,"[64, 32]",0.3,0.0001,64,0.008220872841775417,0.0906690284592781,28
180,45,"[64, 32]",0.4,0.001,16,0.004155905917286873,0.06446631935060365,38
181,45,"[64, 32]",0.4,0.001,32,0.004714103881269693,0.0686593348760673,50
182,45,"[64, 32]",0.4,0.001,64,0.005215055774897337,0.07221534226467334,50
183,45,"[64, 32]",0.4,0.0005,16,0.00583008723333478,0.07635500526993629,26
184,45,"[64, 32]",0.4,0.0005,32,0.00540965935215354,0.07355038913639375,38
185,45,"[64, 32]",0.4,0.0005,64,0.005780902225524187,0.07603224561537518,50
186,45,"[64, 32]",0.4,0.0001,16,0.006991949863731861,0.08361787701800495,41
187,45,"[64, 32]",0.4,0.0001,32,0.0068978904746472836,0.08305354167967463,50
188,45,"[64, 32]",0.4,0.0001,64,0.008137596771121025,0.09020862930342405,50
189,45,"[128, 64]",0.2,0.001,16,0.0035703075118362904,0.0597520484274853,50
190,45,"[128, 64]",0.2,0.001,32,0.004981680307537317,0.07058101960155275,24
191,45,"[128, 64]",0.2,0.001,64,0.004349838942289352,0.065953308519824,46
192,45,"[128, 64]",0.2,0.0005,16,0.0038706851191818714,0.06221483211898719,38
193,45,"[128, 64]",0.2,0.0005,32,0.004287105519324541,0.06547599080016756,44
194,45,"[128, 64]",0.2,0.0005,64,0.004480253905057907,0.06693469806893454,50
195,45,"[128, 64]",0.2,0.0001,16,0.005123010370880365,0.07157520969358762,50
196,45,"[128, 64]",0.2,0.0001,32,0.005762306973338127,0.07590985969481981,44
197,45,"[128, 64]",0.2,0.0001,64,0.0073110866360366344,0.08550489300711207,50
198,45,"[128, 64]",0.3,0.001,16,0.004127029795199633,0.06424196159675477,32
199,45,"[128, 64]",0.3,0.001,32,0.0044775428250432014,0.06691444426120462,35
200,45,"[128, 64]",0.3,0.001,64,0.004382576793432236,0.0662010332888708,42
201,45,"[128, 64]",0.3,0.0005,16,0.004215261433273554,0.06492504496255369,41
202,45,"[128, 64]",0.3,0.0005,32,0.005025537684559822,0.07089102554928933,29
203,45,"[128, 64]",0.3,0.0005,64,0.0046797278337180614,0.06840853780193994,50
204,45,"[128, 64]",0.3,0.0001,16,0.005261354614049196,0.07253519408472232,39
205,45,"[128, 64]",0.3,0.0001,32,0.00640681991353631,0.08004260996183282,50
206,45,"[128, 64]",0.3,0.0001,64,0.00931553915143013,0.09651704086503331,14
207,45,"[128, 64]",0.4,0.001,16,0.004676446318626404,0.06838454605988631,22
208,45,"[128, 64]",0.4,0.001,32,0.00469321059063077,0.06850701020935968,30
209,45,"[128, 64]",0.4,0.001,64,0.004488377366214991,0.06699535081696059,50
210,45,"[128, 64]",0.4,0.0005,16,0.005304396618157625,0.07283128703573034,22
211,45,"[128, 64]",0.4,0.0005,32,0.004597727674990892,0.06780654629148988,49
212,45,"[128, 64]",0.4,0.0005,64,0.006194969639182091,0.07870812617723438,36
213,45,"[128, 64]",0.4,0.0001,16,0.0075987400487065315,0.08717075669453908,17
214,45,"[128, 64]",0.4,0.0001,32,0.006478681694716215,0.08049025649579729,50
215,45,"[128, 64]",0.4,0.0001,64,0.007231527008116245,0.08503838683358644,50
216,45,"[64, 32, 16]",0.2,0.001,16,0.0063605522736907005,0.07975306885512076,23
217,45,"[64, 32, 16]",0.2,0.001,32,0.007254687137901783,0.08517444909920593,13
218,45,"[64, 32, 16]",0.2,0.001,64,0.0067684585228562355,0.08227064196653869,50
219,45,"[64, 32, 16]",0.2,0.0005,16,0.006736952345818281,0.08207894100563398,19
220,45,"[64, 32, 16]",0.2,0.0005,32,0.007299535442143679,0.08543731941378238,12
221,45,"[64, 32, 16]",0.2,0.0005,64,0.006395615637302399,0.07997259315924295,25
222,45,"[64, 32, 16]",0.2,0.0001,16,0.0073244404047727585,0.0855829458106763,50
223,45,"[64, 32, 16]",0.2,0.0001,32,0.007157161831855774,0.08460001052136575,50
224,45,"[64, 32, 16]",0.2,0.0001,64,0.011714822612702847,0.10823503296949075,50
225,45,"[64, 32, 16]",0.3,0.001,16,0.004877703730016947,0.06984055988038346,32
226,45,"[64, 32, 16]",0.3,0.001,32,0.0060337986797094345,0.07767753162816297,30
227,45,"[64, 32, 16]",0.3,0.001,64,0.008051098324358463,0.08972790788740212,17
228,45,"[64, 32, 16]",0.3,0.0005,16,0.006141617428511381,0.07836847200648858,34
229,45,"[64, 32, 16]",0.3,0.0005,32,0.007918373681604862,0.0889852428116548,11
230,45,"[64, 32, 16]",0.3,0.0005,64,0.007316251751035452,0.08553508807724433,30
231,45,"[64, 32, 16]",0.3,0.0001,16,0.006922917440533638,0.08320406832716234,50
232,45,"[64, 32, 16]",0.3,0.0001,32,0.008333142846822739,0.0912860467952736,50
233,45,"[64, 32, 16]",0.3,0.0001,64,0.009016187861561775,0.09495361408083403,50
234,45,"[64, 32, 16]",0.4,0.001,16,0.0059915827587246895,0.07740531618128202,30
235,45,"[64, 32, 16]",0.4,0.001,32,0.008206321857869625,0.09058874947468652,13
236,45,"[64, 32, 16]",0.4,0.001,64,0.005730165634304285,0.07569785770432245,47
237,45,"[64, 32, 16]",0.4,0.0005,16,0.007775546051561832,0.08817905461490716,15
238,45,"[64, 32, 16]",0.4,0.0005,32,0.007521484512835741,0.08672649564967072,26
239,45,"[64, 32, 16]",0.4,0.0005,64,0.007509760092943907,0.08665887177975388,50
240,45,"[64, 32, 16]",0.4,0.0001,16,0.008295344188809395,0.09107878013301088,24
241,45,"[64, 32, 16]",0.4,0.0001,32,0.008070939220488071,0.0898384065935453,48
242,45,"[64, 32, 16]",0.4,0.0001,64,0.013837510719895363,0.11763294718781062,20
